title,brand,price/currency,price/value,stars,reviewsCount,StarsCategory
SOJOS Retro Polarized Aviator Sunglasses for Women Men Classic 70s Vintage Trendy Square Aviators,SOJOS,$,20.997259999999997,4.4,8032.0,2
TURBOPEP Square Polarized Sunglasses for Men and Women Lightweight Frame Sun Glasses with UV Protection,TURBOPEP,$,20.997259999999997,4.5,475.0,2
"Locs Gangster Oversized Rectangular Horn Rim Sunglasses All Black, mens",Locs,$,7.35,4.5,3090.0,2
ATTCL Polarized Wrap Sunglasses For Men - Fishing Sports Glasses UV Protection,ATTCL,$,20.997259999999997,4.4,6299.0,2
SOJOS Classic Square Sunglasses for Women Men with Spring Hinge Sunnies SJ1137,SOJOS,$,20.997259999999997,4.6,4397.0,2
MERRY'S Rectangular Polarized Sports Sunglasses for Men Women Cycling Driving Fishing UV400 Protection S8225,MERRY'S,$,13.99,4.4,6977.0,2
grinderPUNCH XL Men's Big Wide Frame Black Sunglasses - Extra Large Square 148mm,grinderPUNCH,$,15.99,4.2,4207.0,1
Buyisgle Eye Glasses Holder Strap - Sunglasses Straps Cords for Men Women Kids - Eyeglass Holders Around Neck - Eyewear String Lanyard Retainer - 2 PCS（Black,Buyisgle,$,9.96,4.6,46.0,2
Locs Sunglasses Hardcore Black 0103,Locs,$,20.997259999999997,4.5,3158.0,2
LINVO Polarized Sunglasses for Men Driving Sun glasses Shades 80's Retro Style Design Square,LINVO,$,20.997259999999997,4.5,4840.0,2
YIMI Polarized Photochromic Driving z87 Sunglasses For Men Women Day and Night safety glasses,YIMI,$,20.997259999999997,4.0,8332.0,1
STORYCOAST Oversized Square Sunglasses for Women Men Fashion Siamese Lens Style Flat Top Shield Shades,STORYCOAST,$,13.99,4.6,1295.0,2
"STORYCOAST Polarized Sports Sunglasses for Men Women,Driving Fishing Cycling Mountain Bike Sunglasses UV400 Protection",STORYCOAST,$,20.997259999999997,4.3,2516.0,1
Dollger Square Oversized Sunglasses for Women Men Fashion Flat Top Big Black Frame Shades,Dollger,$,13.98,4.6,5196.0,2
SOJOS Trendy Oversized Sunglasses for Women and Men,SOJOS,$,12.74,4.6,3519.0,2
"KALIYADI Polarized Sunglasses for Men, Lightweight Sun Glasses with UV Protection for Driving Fishing Golf",KALIYADI,$,19.99,4.6,2851.0,2
SOJOS Trendy Oversized Square Metal Frame Sunglasses for Women Men Flat Mirrored Lens UV Protection Sunglasses SJ1146,SOJOS,$,20.997259999999997,4.5,4509.0,2
AIEYEZO Oversized Square Sunglasses for Women Men Fashion Big Frame Shades Outdoor Sports Driving Sunnies UV400 Protection,AIEYEZO,$,20.997259999999997,4.2,2061.0,1
"SOJOS Retro Aviator Sunglasses for Women Men,Trendy Rectangle Womens Mens Shades Sun Glasses SJ2202",SOJOS,$,20.997259999999997,4.4,1804.0,2
suoso Polarized Sports Sunglasses for Men: UV400 Protection Glasses Womens Wrap Around Goggles for Driving Fishing,suoso,$,14.99,4.4,745.0,2
mxnx Aviator Sunglasses for Men Polarized Women UV Protection Lightweight Driving Fishing Sports Mens Sunglasses MX208,mxnx,$,15.55,4.5,12130.0,2
KALIYADI Classic Aviator Sunglasses for Men Women Driving Sun glasses Polarized Lens UV Blocking,KALIYADI,$,20.997259999999997,4.4,11624.0,2
VANLINKER Polarized Retro Oval Sunglasses for Women and Men Small 90s Style VL9580,VANLINKER,$,20.997259999999997,4.4,1448.0,2
YDAOWKN Classic Vintage Aviator Sunglasses for Women Men Large Frame Retro 70s Sunglasses UV400,YDAOWKN,$,20.997259999999997,4.4,5685.0,2
"FEIDUSUN Sunglasses Men Polarized Sunglasses for Mens and Womens,Black Retro Sun Glasses Driving Fishing UV Protection",FEIDUSUN,$,9.99,4.5,1765.0,2
"KleenGuard™ V30 Nemesis™ Safety Glasses (25688), with Mirror Coating, Smoke Lenses, Black Frame, Unisex Sunglasses for Men and Women (Qty 12)",JACKSON SAFETY,$,41.73,4.8,1982.0,2
STORYCOAST Polarized Sports Sunglasses for Men Women Unbreakable Frame Cycling Fishing Driving,STORYCOAST,$,22.95,4.4,5480.0,2
SOJOS Retro Oversized Square Polarized Sunglasses for Women and Men Vintage Shades UV400 Classic Large Metal Sun Glasses,SOJOS,$,14.16,4.6,6913.0,2
"KWHZXGYY Sunglasses Men Polarized Sunglasses for Mens and Womens,Black Retro Sun Glasses Driving Fishing UV400 Protection",KWHZXGYY,$,8.99,4.5,671.0,2
Dollger Oversized Square Sunglasses for Women Big Large Wide Fashion Shades for Men 100% UV Protection Unisex,Dollger,$,20.997259999999997,4.5,7496.0,2
SOJOS Oversized Square Cateye Polarized Sunglasses for Women Men Big Trendy Sunnies,SOJOS,$,20.997259999999997,4.6,12600.0,2
DEMIKOS Sunglasses Men Polarized Sunglasses for Womens Trendy Retro Mirror Lens for Driving Fishing UV400 Protection,DEMIKOS,$,20.997259999999997,4.5,5340.0,2
FAGUMA Polarized Sports Sunglasses For Men Cycling Driving Fishing 100% UV Protection,FAGUMA,$,15.87,4.4,10800.0,2
KUGUAOK Polarized Sports Sunglasses for Men Driving Cycling Fishing Sun Glasses 100% UV Protection Goggles,KUGUAOK,$,20.997259999999997,4.2,8976.0,1
FEISEDY Oversized Sunglasses Mens Womens Flat Top Square Trendy Visor Shades UV400 B2470,FEISEDY,$,20.997259999999997,4.5,10473.0,2
"Aqulius Bulk Tinted Safety Glasses (Protective Shaded Safety Sunglasses For Men & Women) UV Resistant, ANSI Z28.1",Aqulius,$,20.997259999999997,4.6,2465.0,2
INFI Fishing Polarized Sunglasses for Men Driving Running Golf Sports Glasses Square UV Protection Designer Style Unisex,INFI,$,35.99,4.5,6429.0,2
AEVOGUE Polarized Sunglasses For Men Rectangle Metal Frame Retro Sun Glasses AE0395,AEVOGUE,$,20.997259999999997,4.4,1473.0,2
Micheal Kors MK2024 Sunglasses,Michael Kors,$,41.16,4.7,6526.0,2
TOREGE Polarized Sports Sunglasses for Men and Women Cycling Running Golf Fishing Sunglasses TR26,TOREGE,$,20.997259999999997,4.3,5732.0,1
"Ray-Ban RB4184 Square Sunglasses, Black/Green, 54 mm",Ray-Ban,$,20.997259999999997,4.5,900.0,2
Couple Butt Sets Plug Toy Anales Sex Games Toys Plug Expander Relaxing Tool for Men Women Sunglasses B-GL079,Generic,$,20.997259999999997,4.8,14.0,2
TOODOO 4 Pairs Men Polarized Sunglasses with UV Protection Driving Glasses Sports for Sport Outdoor Activities,TOODOO,$,20.997259999999997,3.9,4539.0,0
"GloFX Ultimate Diffraction Glasses - 3D Prism Rainbow Effect - Great Edm, Concert, and Rave Accessory",GloFX,$,20.997259999999997,4.4,2233.0,2
ADE WU Rectangle Sunglasses for Women Men Retro 90s Sunglasses Trendy Black Tortoise Shell Glasses Y2K,ADE WU,$,20.997259999999997,4.6,4673.0,2
CARFIA Polarized Men's Sunglasses UV400 Protection for Driving Fishing Hiking Golf Outdoor Sport Glasses,CARFIA,$,20.997259999999997,4.6,3414.0,2
Outray Night Vision Polarized Aviator Sunglasses for Driving,Outray,$,11.57,4.1,2508.0,1
GOBIGER Aviator Sunglasses for Men 100% UV Protection Goggle Alloy Frame with Case,GOBIGER,$,14.99,4.3,7130.0,1
Oakley Men's OO9096 Fuel Cell Wrap Sunglasses,Oakley,$,20.997259999999997,4.7,5331.0,2
phikttu Classic Aviator Sunglasses for Men Women Retro Trendy Driving Sun glasses Polarized Lens UV Blocking,phikttu,$,9.99,4.5,703.0,2
NIEEPA Men's Sports Polarized Sunglasses Square Frame Glasses NP1007,NIEEPA,$,20.997259999999997,4.4,6540.0,2
LYZOIT Square Oversized Sunglasses for Women Men Big Flat Top Fashion Shield Large UV Protection Rimless Shades,LYZOIT,$,17.99,4.6,4741.0,2
Goodr OG Sunglasses,Goodr,$,25.0,4.6,6137.0,2
